iter	Passed	Remaining
412	3121	4437
413	3129	4430
414	3137	4422
415	3145	4415
416	3152	4408
417	3160	4400
418	3167	4392
419	3175	4384
420	3183	4378
421	3190	4370
422	3198	4363
423	3206	4355
424	3213	4348
425	3220	4339
426	3227	4331
427	3235	4324
428	3243	4316
429	3251	4310
430	3259	4302
431	3266	4295
432	3273	4286
433	3281	4279
434	3288	4270
435	3295	4263
436	3303	4255
437	3310	4247
438	3317	4239
439	3324	4231
440	3333	4224
441	3339	4216
442	3347	4208
443	3354	4200
444	3362	4193
445	3368	4184
446	3376	4177
447	3383	4169
448	3390	4160
449	3398	4153
450	3405	4145
451	3413	4138
452	3420	4130
453	3427	4122
454	3435	4114
455	3442	4106
456	3449	4098
457	3455	4089
458	3463	4082
459	3471	4074
460	3478	4067
461	3485	4059
462	3492	4051
463	3499	4042
464	3506	4034
465	3513	4026
466	3520	4018
467	3528	4010
468	3535	4003
469	3543	3995
470	3550	3988
471	3558	3980
472	3565	3972
473	3572	3963
474	3580	3957
475	3588	3950
476	3597	3943
477	3604	3936
478	3613	3930
479	3620	3922
480	3628	3914
481	3635	3906
482	3643	3899
483	3649	3891
484	3657	3883
485	3664	3875
486	3671	3867
487	3679	3860
488	3687	3852
489	3694	3845
490	3701	3837
491	3709	3829
492	3716	3821
493	3723	3813
494	3730	3806
495	3738	3798
496	3745	3790
497	3752	3782
498	3760	3775
499	3774	3774
500	3785	3770
501	3798	3767
502	3809	3764
503	3818	3757
504	3826	3751
505	3838	3747
506	3846	3740
507	3854	3733
508	3862	3726
509	3870	3718
510	3878	3711
511	3886	3704
512	3894	3696
513	3901	3689
514	3909	3682
515	3916	3674
516	3924	3666
517	3931	3658
518	3939	3650
519	3945	3642
520	3953	3634
521	3961	3627
522	3969	3619
523	3976	3612
524	3983	3604
525	3991	3596
526	3998	3588
527	4006	3581
528	4014	3574
529	4022	3567
530	4029	3559
531	4038	3552
532	4045	3544
533	4053	3537
534	4061	3529
535	4068	3522
536	4075	3513
537	4082	3506
538	4090	3498
539	4097	3490
540	4106	3483
541	4112	3475
542	4121	3468
543	4128	3460
544	4137	3453
545	4144	3446
546	4152	3438
547	4159	3430
548	4167	3423
549	4174	3415
550	4182	3408
551	4189	3400
552	4197	3392
553	4205	3385
554	4211	3376
555	4219	3369
556	4226	3361
557	4234	3354
558	4241	3346
559	4248	3338
560	4256	3330
561	4264	3323
562	4271	3315
563	4278	3307
564	4286	3300
565	4293	3292
566	4301	3285
567	4308	3276
568	4316	3269
569	4323	3261
570	4331	3254
571	4339	3246
572	4347	3239
573	4354	3231
574	4363	3224
575	4370	3217
576	4377	3209
577	4386	3202
578	4394	3195
579	4402	3188
580	4409	3180
581	4418	3173
582	4425	3165
583	4433	3158
584	4440	3149
585	4448	3142
586	4455	3135
587	4464	3128
588	4471	3120
589	4479	3112
590	4486	3104
591	4494	3097
592	4502	3090
593	4509	3082
594	4516	3074
595	4523	3066
596	4531	3059
597	4539	3051
598	4547	3044
599	4554	3036
600	4562	3028
601	4569	3021
602	4576	3013
603	4584	3005
604	4592	2998
605	4600	2991
606	4608	2983
607	4615	2975
608	4622	2968
609	4630	2960
610	4636	2952
611	4645	2944
612	4652	2937
613	4660	2930
614	4667	2922
615	4676	2915
616	4683	2907
617	4691	2900
618	4699	2892
619	4707	2885
620	4714	2877
621	4722	2869
622	4729	2862
623	4736	2854
624	4745	2847
625	4752	2839
626	4760	2832
627	4767	2824
628	4776	2817
629	4784	2809
630	4792	2802
631	4800	2795
632	4807	2787
633	4814	2779
634	4822	2771
635	4829	2763
636	4836	2756
637	4844	2748
638	4851	2740
639	4859	2733
640	4866	2725
641	4875	2718
642	4883	2711
643	4891	2704
644	4898	2696
645	4906	2688
646	4914	2681
647	4923	2674
648	4930	2666
649	4938	2658
650	4945	2651
651	4952	2643
652	4960	2635
653	4966	2627
654	4974	2620
